Name,Team,BB/K,OPS,wRAA,WPA
Shin-Soo Choo,Rangers,0.57,0.78,9.7,-0.29
Mookie Betts,Red Sox,0.97,0.803,10.8,3.11
Josh Bell,Pirates,0.56,0.8,9.1,0.72
Asdrubal Cabrera,Mets,0.6,0.785,7.8,0.33
Brett Gardner,Yankees,0.59,0.778,8.9,2.14
Wil Myers,Padres,0.39,0.792,7.8,0.88
Didi Gregorius,Yankees,0.36,0.796,6.6,1.78
Todd Frazier,Yankees,0.66,0.772,6.6,-0.68
Robinson Cano,Mariners,0.58,0.791,7.3,1.89
Adam Jones,Orioles,0.24,0.787,7.0,-0.86
Tim Beckham,Orioles,0.22,0.782,6.3,-0.02
Jean Segura,Mariners,0.41,0.776,6.2,0.24
Whit Merrifield,Royals,0.33,0.784,6.0,1.64
Andrew Benintendi,Red Sox,0.63,0.776,6.2,-0.24
Josh Harrison,Pirates,0.31,0.771,5.1,-0.27
J.T. Realmuto,Marlins,0.34,0.783,5.4,0.11
Curtis Granderson,Dodgers,0.58,0.775,4.1,1.26
Scott Schebler,Reds,0.31,0.791,4.0,-1.42
Chase Headley,Yankees,0.45,0.758,4.0,0.18
Odubel Herrera,Phillies,0.25,0.778,3.7,-0.93
Joe Panik,Giants,0.85,0.768,3.7,0.64
Ender Inciarte,Braves,0.52,0.759,4.0,-1.04
Manny Machado,Orioles,0.43,0.782,3.9,1.26
Carlos Gonzalez,Rockies,0.47,0.762,2.7,-0.47
Adam Duvall,Reds,0.23,0.782,3.1,-1.58
Kyle Seager,Mariners,0.53,0.773,3.1,1.16
David Freese,Pirates,0.5,0.739,2.3,-0.12
Mitch Moreland,Red Sox,0.48,0.769,2.3,0.58
Javier Baez,Cubs,0.21,0.796,2.0,-0.47
Denard Span,Giants,0.58,0.756,1.9,-0.41
Andrelton Simmons,Angels,0.7,0.752,1.0,0.73
Trevor Story,Rockies,0.26,0.765,0.8,-0.78
Xander Bogaerts,Red Sox,0.48,0.746,0.3,-0.69
Nick Markakis,Braves,0.62,0.738,-0.2,0.31
Ryon Healy,Athletics,0.16,0.754,-0.6,1.11
Kendrys Morales,Blue Jays,0.33,0.753,-0.7,0.63
Melky Cabrera,Royals,0.49,0.746,-0.9,1.57
Hanley Ramirez,Red Sox,0.44,0.75,-1.4,-1.18
Nomar Mazara,Rangers,0.43,0.745,-1.8,0.2
Brandon Phillips,Angels,0.29,0.735,-2.7,0.75
Yadier Molina,Cardinals,0.38,0.751,-2.5,-0.64
Ben Gamel,Mariners,0.3,0.735,-2.6,0.74
Max Kepler,Twins,0.41,0.737,-2.9,0.67
Kole Calhoun,Angels,0.53,0.725,-3.4,1.84
Yolmer Sanchez,White Sox,0.32,0.732,-3.6,-0.81
Jackie Bradley Jr.,Red Sox,0.39,0.726,-3.7,0.1
Miguel Cabrera,Tigers,0.49,0.728,-3.7,-1.0
Ian Kinsler,Tigers,0.64,0.725,-4.3,-2.55
Evan Longoria,Rays,0.42,0.737,-4.8,-0.33
Jose Reyes,Mets,0.63,0.728,-4.0,-0.01
Dee Gordon,Marlins,0.27,0.716,-5.0,0.27
Chris Davis,Orioles,0.31,0.732,-3.9,-1.83
Byron Buxton,Twins,0.25,0.728,-4.0,0.57
Yangervis Solarte,Padres,0.61,0.731,-4.2,0.65
Manuel Margot,Padres,0.33,0.721,-5.1,-0.3
Orlando Arcia,Brewers,0.36,0.731,-5.4,-0.88
Jorge Polanco,Twins,0.53,0.723,-5.3,0.84
Jordy Mercer,Pirates,0.58,0.733,-5.9,-1.07
Tommy Joseph,Phillies,0.26,0.721,-7.0,-0.53
Hunter Pence,Giants,0.39,0.701,-8.1,0.75
Kevin Pillar,Blue Jays,0.35,0.704,-9.9,-2.24
Brandon Crawford,Giants,0.37,0.709,-9.5,-1.45
Freddy Galvis,Phillies,0.41,0.69,-13.0,-1.64
Mark Trumbo,Orioles,0.28,0.686,-13.2,-0.54
Jose Bautista,Blue Jays,0.49,0.674,-15.2,-1.99
Maikel Franco,Phillies,0.43,0.69,-15.3,-0.98
Tim Anderson,White Sox,0.08,0.679,-16.6,-1.74
Albert Pujols,Angels,0.4,0.672,-18.8,-0.62
Carlos Beltran,Astros,0.32,0.666,-16.1,-1.12
Billy Hamilton,Reds,0.33,0.634,-22.9,-2.71
Dansby Swanson,Braves,0.49,0.636,-21.0,-0.1
Jose Peraza,Reds,0.29,0.622,-21.1,-2.13
Rougned Odor,Rangers,0.2,0.649,-26.8,-3.85
Alex Gordon,Royals,0.36,0.608,-23.5,-1.05
Alcides Escobar,Royals,0.15,0.629,-27.7,-1.36
